                XN17V	Crimean-Congo haemorrhagic fever virus
                XN16H	Dobrava virus
                XN2QZ	gōu virus
                XN3GW	Hantaan virus
                XN8UR	Kurkino virus
                XN8AF	Muju virus
                XN4S8	Orthobunyavirus
                    XN09U	Cristoli virus
                    XN4U2	Oropouche orthobunyavirus
                XN28L	Puumala virus
                XN9PD	Saaremaa virus
                XN3PV	Seoul virus
                XN95V	Sochi virus
                XN0E0	Soochong virus
                XN9G5	Tula virus
                XN2VY	Anajatuba virus
                XN4AP	Andes virus
                XN2C8	Araucária virus
                XN2WJ	bayou virus
                XN0A0	Bermejo virus
                XN66E	Black Creek Canal virus
                XN8LW	Blue River virus
                XN18Y	Castelo dos Sonhos virus
                XN6XF	El Moro Canyon virus
                XN8G9	Juquitiba virus
                XN6P0	Laguna Negra virus
                XN2CJ	Lechiguanas virus
                XN2BW	Maciel virus
                XN3WK	Monongahela virus
                XN5SF	Muleshoe virus
                XN9VX	New York virus
                XN9BY	Orán virus
                XN5JV	Paranoá virus
                XN65X	Pergamino virus
                XN2VC	Río Mamoré virus
                XN7R1	sin nombre virus
                XN057	Tunari virus
                XN8AQ	Araraquara virus
                XN5VU	Phlebovirus
                    XN2YW	Punta Toro virus
                    XN7AS	Rift Valley fever phlebovirus
                    XN72W	Sicilian phlebovirus
                    XN7FG	Naples phlebovirus
                    XN3V9	Toscana phlebovirus
                XN3BT	Dabie bandavirus
            XN9RK	Calicivirus
                XN4EB	Lagovirus
                XN8L1	Nebovirus
                XN3Y2	Norovirus
                XN9EH	Sapovirus
                XN0R6	Vesivirus
            XN83D	Coronavirus
                XN0UA	Human coronavirus 229E
                XN9KN	Human coronavirus HKU1
                XN7CX	Human coronavirus OC43
                XN3BD	Middle East respiratory syndrome coronavirus
                XN5V7	Pipistrellus bat coronavirus HKU5
                XN1N9	Rousettus bat coronavirus HKU9
                XN1V8	Severe Acute Respiratory Syndrome coronavirus
                XN1GJ	Tylonycteris bat coronavirus HKU4
                XN109	SARS-CoV-2
                    XN0HL	SARS-CoV-2 Alpha
                    XN4Q7	SARS-CoV-2 Beta
                    XN5BQ	SARS-CoV-2 Gamma
                    XN8V6	SARS-CoV-2 Delta
                    XN1GK	SARS-CoV-2 Epsilon
                    XN3ZE	SARS-CoV-2 Zeta
                    XN2V4	SARS-CoV-2 Eta
                    XN4Q1	SARS-CoV-2 Theta
                    XN3UD	SARS-CoV-2 Iota
                    XN9LB	SARS-CoV-2 Kappa
                    XN6AM	SARS-CoV-2 Lambda
                    XN39J	SARS-CoV-2 Mu
                    XN161	SARS-CoV-2 Omicron
